graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
16,23,41,gaussian,0.3,0.41820345032718614,0.1219512195092207,0.1219512195092207,0.95652174949646
16,23,41,laplace,0.0,0.7007733491969065,0.5853658536442594,0.5853658536442594,0.95652174949646
16,23,41,laplace,0.05,0.6049970255800119,0.21951219511659728,0.21951219511659728,0.95652174949646
16,23,41,laplace,0.1,0.45151695419393223,0.14634146341106485,0.14634146341106485,0.95652174949646
16,23,41,laplace,0.2,0.48899464604402143,0.170731707312909,0.170731707312909,1.0
16,23,41,laplace,0.3,0.45211183819155265,0.170731707312909,0.170731707312909,0.95652174949646
17,285,424,gaussian,0.0,0.9924572801708793,0.6037735849042364,0.6037735849042364,0.9403508901596069
17,285,424,gaussian,0.05,0.6345173994304023,0.030660377358418256,0.030660377358418256,0.936842143535614
17,285,424,gaussian,0.1,0.5721787112851549,0.016509433962225213,0.016509433962225213,0.9403508901596069
17,285,424,gaussian,0.2,0.5556525898896405,0.016509433962225213,0.016509433962225213,0.9403508901596069
17,285,424,gaussian,0.3,0.539443529725881,0.018867924528257387,0.018867924528257387,0.9403508901596069
17,285,424,laplace,0.0,0.9949158953364187,0.6037735849042364,0.6037735849042364,0.9403508901596069
17,285,424,laplace,0.05,0.6010257208971164,0.018867924528257387,0.018867924528257387,0.9403508901596069
17,285,424,laplace,0.1,0.5550740922036311,0.009433962264128693,0.009433962264128693,0.936842143535614
17,285,424,laplace,0.2,0.5292252580989676,0.018867924528257387,0.018867924528257387,0.9473684430122375
17,285,424,laplace,0.3,0.5459516286934852,0.016509433962225213,0.016509433962225213,0.9192982912063599
18,56,79,gaussian,0.0,0.9689152379426375,0.5949367088532286,0.5949367088532286,0.9464285969734192
18,56,79,gaussian,0.05,0.693799070661753,0.12658227847941034,0.12658227847941034,0.9464285969734192
18,56,79,gaussian,0.1,0.6043903220637719,0.02531645569588207,0.02531645569588207,0.9464285969734192
18,56,79,gaussian,0.2,0.5600064092292901,0.1139240506314693,0.1139240506314693,0.9464285969734192
18,56,79,gaussian,0.3,0.5237942637397852,0.06329113923970517,0.06329113923970517,0.9464285969734192
18,56,79,laplace,0.0,0.9769267745553597,0.5949367088532286,0.5949367088532286,0.9464285969734192
18,56,79,laplace,0.05,0.6869091491748118,0.1139240506314693,0.1139240506314693,0.9464285969734192
18,56,79,laplace,0.1,0.5398173369652299,0.07594936708764621,0.07594936708764621,0.9464285969734192
